Item_Number,Set_Name,Theme,Pieces,Price,Amazon_Price,Year,Ages,Pages,Minifigures,Packaging,Weight,Unique_Pieces,Availability,Size
31102,Fire Dragon,Creator 3-in-1,234,$19.99 ,$19.59 ,2020,Ages_7+,132,NA,Box,NA,80,Retail,Small
70636,Zane - Spinjitzu Master,NINJAGO®,69,$9.99 ,$19.65 ,2018,Ages_6-14,32,1,Box,NA,38,Retail,Small
41405,Andrea's Play Cube - Pet Shop,Friends,40,$9.99 ,$19.80 ,2020,Ages_6+,5,1,Box,NA,33,Retail,Small
41287,Bubbles Playground Showdown,Powerpuff Girls™,144,$19.99 ,$19.84 ,2018,Ages_6-12,48,3,Box,0.23Kg (0.51 lb),92,Retail,Small
70841,Benny's Space Squad,THE LEGO® MOVIE 2™,68,$9.99 ,$19.88 ,2019,Ages_5+,32,5,Box,0.09Kg (0.2 lb),53,Retail,Small
31071,Drone Explorer,Creator 3-in-1,109,$9.99 ,$19.88 ,2018,Ages_6-12,80,NA,Box,0.17Kg (0.37 lb),56,Retail,Small
70671,Lloyd's Journey,NINJAGO®,81,$14.99 ,$19.94 ,2019,Ages_6+,36,2,Box,NA,50,Retail,Small
41383,Olivia's Hamster Playground,Friends,81,$9.99 ,$19.94 ,2019,Ages_6+,40,1,NA,0.1Kg (0.22 lb),52,NA,Small
41907,Desk Organiser,DOTS,405,$19.99 ,$19.95 ,2020,Ages_6+,4,NA,Plastic canister,NA,44,Retail,Small
41617,Elsa,BrickHeadz,130,$9.99 ,$19.95 ,2018,Ages_10+,44,NA,Box,NA,48,Retail,Small
75268,Snowspeeder,Star Wars™,91,$19.99 ,$19.95 ,2020,Ages_4+,56,2,Box,NA,64,Retail,Small
75966,Hogwarts Room of Requirement,Harry Potter™,193,$19.99 ,$19.95 ,2020,Ages_7+,60,4,Box,NA,90,Retail,Small
75939,Dr. Wu's Lab: Baby Dinosaurs Breakout,Jurassic World™,164,$19.99 ,$19.95 ,2020,Ages_6+,64,2,Box,NA,100,Retail,Small
41426,Heartlake City Park Café,Friends,224,$19.99 ,$19.95 ,2020,Ages_6+,72,2,Box,NA,117,Retail,Small
76148,Spider-Man vs. Doc Ock,Marvel,234,$19.99 ,$19.95 ,2020,Ages_6+,72,3,Box,NA,80,Retail,Small
76895,Ferrari F8 Tributo,Speed Champions,275,$19.99 ,$19.95 ,2020,Ages_7+,72,1,Box,0.32Kg (0.7 lb),92,Retail,Small
76897,1985 Audi Sport Quattro S1,Speed Champions,250,$19.99 ,$19.95 ,2020,Ages_7+,76,1,Box,NA,102,Retail,Small
11008,Bricks and Houses,Classic,270,$19.99 ,$19.95 ,2020,Ages_4+,77,NA,Box,NA,121,Retail,Small
75317,The Mandalorian & The Child,Star Wars™,295,$19.99 ,$19.95 ,2020,Ages_10+,88,NA,Box,NA,123,Retail,Small
71363,Desert Pokey,LEGO® Super Mario™,180,$19.99 ,$19.95 ,2020,Ages_6+,NA,2,Box,NA,70,Retail,Small
70821,Emmet and Benny's 'Build and Fix' Workshop!,THE LEGO® MOVIE 2™,117,$19.99 ,$19.98 ,2019,Ages_4+,48,2,Box,0.34Kg (0.75 lb),73,Retail,Small
41915,Jewellery Box,DOTS,374,$19.99 ,$19.99 ,2020,Ages_6+,3,NA,Plastic canister,NA,35,Retail,Small
41906,Pineapple Pencil Holder,DOTS,351,$19.99 ,$19.99 ,2020,Ages_6+,4,NA,Plastic canister,NA,39,Retail,Small
10767,Duke Caboom's Stunt Show,Disney™,120,$19.99 ,$19.99 ,2019,Ages_4+,48,2,Box,NA,62,Retail,Small
70644,Golden Dragon Master,NINJAGO®,92,$14.99 ,$19.99 ,2018,Ages_8-14,48,1,Box,NA,54,Retail,Small
75951,Grindelwald's Escape,NA,132,$19.99 ,$19.99 ,2018,Ages_7-14,48,2,Box,0.24Kg (0.53 lb),68,Retail,NA
70433,J.B.'s Submarine,Hidden Side,224,$19.99 ,$19.99 ,2020,Ages_7+,64,3,Box,NA,120,Retail,Small
70836,Battle-Ready Batman and MetalBeard,Batman™,168,$19.99 ,$19.99 ,2019,Ages_6+,64,2,Box,0.24Kg (0.53 lb),98,Retail,Small
41421,Baby Elephant Jungle Rescue,Friends,203,$19.99 ,$19.99 ,2020,Ages_6+,68,2,Box,NA,111,Retail,Small
42103,Dragster,Technic™,225,$19.99 ,$19.99 ,2020,Ages_7+,80,NA,Box,NA,68,Retail,Small
75976,Wrecking Ball,Overwatch®,227,$19.99 ,$19.99 ,2019,Ages_9+,84,1,Box,NA,78,Retail,Small
42090,Getaway Truck,Technic™,128,$19.99 ,$19.99 ,2019,Ages_7+,110,NA,Box,0.31Kg (0.68 lb),33,Retail,Small
71364,Whomp's Lava Trouble,LEGO® Super Mario™,133,$19.99 ,$19.99 ,2020,Ages_6+,NA,2,Box,NA,56,Retail,Small
70647,Kai - Dragon Master,NINJAGO®,92,$14.99 ,$20.32 ,2018,Ages_8-14,48,1,Box,NA,53,Retail,Small
41602,Rey,Star Wars™,119,$9.99 ,$20.50 ,2018,Ages_10+,36,NA,Box,NA,50,Retail,Small
76137,Batman vs. The Riddler Robbery,Batman™,59,$9.99 ,$20.92 ,2019,Ages_4+,36,2,Box,NA,44,Retail,Small
10403,World Fun,Classic,295,$19.99 ,$20.99 ,2018,Ages_5-99,53,2,Box,NA,149,Retail,Small
10904,Baby Animals,DUPLO®,9,$9.99 ,$21.11 ,2019,Ages_2+,8,NA,Box,NA,9,Retail,Large
60185,Mining Power Splitter,City,127,$19.99 ,$21.23 ,2018,Ages_5-12,60,1,Box,0.26Kg (0.58 lb),85,Retail,Small
10768,Buzz and Bo Peep's Playground Adventure,Disney™,139,$24.99 ,$21.47 ,2019,Ages_4+,48,3,Box,NA,85,Retail,Small
75970,Tracer vs. Widowmaker,Overwatch®,129,$14.99 ,$21.57 ,2019,Ages_8+,48,2,Box,0.19Kg (0.42 lb),74,Retail,Small
70684,Spinjitzu Slam - Kai vs. Samurai,NINJAGO®,164,$19.99 ,$21.87 ,2019,Ages_8+,76,2,Box,NA,67,Retail,Small
76101,Outrider Dropship Attack,Marvel,124,$14.99 ,$21.95 ,2018,Ages_6-12,52,3,Box,0.18Kg (0.4 lb),63,Retail,Small
75535,Han Solo,Star Wars™,101,$24.99 ,$21.96 ,2018,Ages_8-14,44,NA,Box,NA,55,Retail,Small
31091,Shuttle Transporter,Creator 3-in-1,341,$24.99 ,$21.97 ,2019,Ages_7+,268,NA,Box,0.51Kg (1.12 lb),122,Retail,Small
10915,Alphabet Truck,DUPLO®,36,$24.99 ,$21.99 ,2020,Ages_1½+,1,2,Box,NA,35,Retail,Large
10872,Train Bridge and Tracks,DUPLO®,26,$24.99 ,$21.99 ,2018,Ages_2-5,16,1,Box,0.88Kg (1.95 lb),10,Retail,Large
60184,Mining Team,City,82,$9.99 ,$21.99 ,2018,Ages_5-12,32,4,Box,0.13Kg (0.29 lb),64,Retail,Small
41155,Elsa's Market Adventure,Disney™,125,$19.99 ,$21.99 ,2018,Ages_5-12,48,2,Box,0.22Kg (0.48 lb),78,Retail,Small
60207,Drone Chase,City,192,$29.99 ,$21.99 ,2019,Ages_5+,100,3,Box,0.35Kg (0.77 lb),112,Retail,Small
70646,Jay - Dragon Master,NINJAGO®,92,$14.99 ,$22.00 ,2018,Ages_8-14,48,1,Box,NA,53,Retail,Small
10871,Airport,DUPLO®,29,$24.99 ,$22.49 ,2018,Ages_2-5,20,3,Box,0.66Kg (1.45 lb),24,NA,Large
21149,Minecraft Alex BigFig with Chicken,Minecraft™,160,$14.99 ,$22.50 ,2019,Ages_7+,40,NA,Box,0.17Kg (0.37 lb),70,Retail,Small
42088,Cherry Picker,Technic™,155,$9.99 ,$22.75 ,2019,Ages_7+,40,NA,NA,0.16Kg (0.35 lb),51,NA,Small
76128,Molten Man Battle,Spider-Man,294,$29.99 ,$22.79 ,2019,Ages_7+,76,3,Box,NA,117,Retail,Small
76133,Spider-Man Car Chase,Marvel,52,$9.99 ,$22.88 ,2019,Ages_4+,36,2,Box,0.16Kg (0.35 lb),38,Retail,Small
76093,Mighty Micros: Nightwing vs. The Joker,NA,84,$9.99 ,$22.95 ,2018,Ages_5-12,7,2,Box,NA,53,Retail,NA
70418,J.B.'s Ghost Lab,Hidden Side,174,$19.99 ,$22.98 ,2019,Ages_7+,64,3,Box,NA,104,Retail,Small
75239,Hoth Generator Attack,Star Wars™,235,$29.99 ,$22.99 ,2019,Ages_7+,68,2,Box,NA,101,Retail,Small
41603,Kylo Ren,Star Wars™,130,$9.99 ,$23.15 ,2018,Ages_10+,40,NA,Box,NA,50,Retail,Small
60240,Kayak Adventure,City,84,$9.99 ,$23.22 ,2019,Ages_5+,36,1,Box,0.15Kg (0.33 lb),48,Retail - limited,Small
10908,Plane,DUPLO®,12,$9.99 ,$23.27 ,2019,Ages_2+,10,1,Box,NA,11,Retail,Large
60177,Airshow Jet,City,87,$9.99 ,$23.29 ,2018,Ages_5-12,56,1,Box,NA,53,Retail,Small
75224,Sith Infiltrator Microfighter,Star Wars™,92,$9.99 ,$23.40 ,2019,Ages_6+,40,1,Box,0.1Kg (0.22 lb),45,Retail,Small
41606,Star-Lord,BrickHeadz,113,$9.99 ,$23.79 ,2018,Ages_10+,40,NA,Box,NA,51,Retail,Small
60213,Dock Side Fire,City,97,$19.99 ,$23.83 ,2019,Ages_5+,48,2,Box,0.25Kg (0.54 lb),63,Retail,Small
70420,Graveyard Mystery,Hidden Side,335,$29.99 ,$23.97 ,2019,Ages_7+,112,4,Box,NA,160,Retail,Small
60248,Fire Helicopter Response,City,93,$29.99 ,$23.98 ,2020,Ages_5+,44,3,Box,0.25Kg (0.55 lb),61,Retail,Small
75946,Hungarian Horntail Triwizard Challenge,Harry Potter™,265,$29.99 ,$23.99 ,2019,Ages_8+,52,4,Box,NA,101,Retail,Small
41166,Elsa and the Reindeer Carriage,LEGO® Frozen 2,116,$29.99 ,$23.99 ,2019,Ages_4+,72,1,Box,NA,78,Retail,Small
60256,Racing Cars,City,190,$29.99 ,$23.99 ,2020,Ages_5+,84,2,Box,0.34Kg (0.75 lb),101,Retail,Small
70827,Ultrakatty & Warrior Lucy!,THE LEGO® MOVIE 2™,348,$29.99 ,$23.99 ,2019,Ages_8+,92,2,Box,0.41Kg (0.9 lb),119,Retail,Small
41253,Lonesome Flats Raft Adventure,Trolls World Tour,159,$29.99 ,$23.99 ,2020,Ages_4+,100,3,Box,NA,110,Retail,Small
43178,Cinderella's Castle Celebration,Disney™,168,$29.99 ,$23.99 ,2020,Ages_4+,100,1,Box,NA,96,Retail,Small
70419,Wrecked Shrimp Boat,Hidden Side,310,$29.99 ,$23.99 ,2019,Ages_7+,108,4,Box,NA,150,Retail,Small
71709,Jay and Lloyd's Velocity Racers,NINJAGO®,322,$29.99 ,$23.99 ,2020,Ages_7+,148,3,Box,NA,142,Retail,Small
41337,Underwater Loop,Friends,389,$29.99 ,$24.00 ,2019,Ages_7+,76,2,Box,NA,165,Retail,Small
60231,Fire Chief Response Truck,City,201,$29.99 ,$24.00 ,2019,Ages_5+,84,2,Box,0.38Kg (0.83 lb),98,Retail,Small
11004,Windows of Creativity,Classic,450,$29.99 ,$24.00 ,2019,Ages_4+,85,NA,Box,NA,153,Retail,Small
60225,Rover Testing Drive,City,202,$29.99 ,$24.00 ,2019,Ages_5+,96,2,Box,0.36Kg (0.8 lb),98,Retail,Small
70673,Shuricopter,NINJAGO®,361,$29.99 ,$24.00 ,2019,Ages_8+,100,3,Box,NA,163,Retail,Small
21154,The Blaze Bridge,Minecraft™,372,$29.99 ,$24.00 ,2019,Ages_8+,108,3,Box,NA,127,Retail,Small
75893,2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,Speed Champions,478,$29.99 ,$24.00 ,2019,Ages_7+,124,3,Box,0.54Kg (1.19 lb),159,Retail,Small
75971,Hanzo vs. Genji,Overwatch®,197,$19.99 ,$24.45 ,2019,Ages_8+,60,3,Box,0.3Kg (0.66 lb),84,Retail,Small
75248,Resistance A-wing Starfighter,Star Wars™,269,$29.99 ,$24.47 ,2019,Ages_7+,84,2,Box,NA,112,Retail,Small
10749,Mia's Organic Food Market,Friends,115,$19.99 ,$24.49 ,2018,Ages_4-7,56,1,Box,NA,70,Retail,Small
41252,Poppy's Air Balloon Adventure,Trolls World Tour,250,$29.99 ,$24.86 ,2020,Ages_6+,68,3,Box,NA,121,Retail,Small
41913,Bracelet Mega Pack,DOTS,300,$24.99 ,$24.95 ,2020,Ages_6+,2,NA,NA,NA,39,Retail,Small
75194,First Order TIE Fighter Microfighter,Star Wars™,91,$9.99 ,$24.95 ,2018,Ages_6-12,40,1,Box,0.11Kg (0.24 lb),47,Retail,Small
70634,Nya - Spinjitzu Master,NINJAGO®,69,$9.99 ,$24.98 ,2018,Ages_6-14,32,1,Box,NA,43,Retail,Small
10756,Pteranodon Escape,Juniors,84,$19.99 ,$25.99 ,2018,Ages_4-7,56,2,Box,0.27Kg (0.59 lb),60,Retail,Small
21159,The Pillager Outpost,Minecraft™,303,$29.99 ,$25.99 ,2020,Ages_8+,68,3,Box,NA,94,Retail,Small
76149,The Menace of Mysterio,Marvel,163,$29.99 ,$25.99 ,2020,Ages_4+,128,3,Box,NA,97,Retail,Small
21150,Minecraft Skeleton BigFig with Magma Cube,Minecraft™,142,$14.99 ,$26.25 ,2019,Ages_7+,40,NA,Box,0.17Kg (0.37 lb),56,Retail,Small
60180,Monster Truck,City,192,$19.99 ,$26.48 ,2018,Ages_6-12,76,1,Box,0.38Kg (0.84 lb),76,Retail,Small
10913,Brick Box,DUPLO®,65,$29.99 ,$26.79 ,2020,Ages_1½+,20,2,Tag,NA,46,Retail,Large
60242,Police Highway Arrest,City,185,$29.99 ,$26.98 ,2020,Ages_5+,108,2,Box,0.33Kg (0.73 lb),98,Retail,Small
10863,My First Animal Brick Box,DUPLO®,34,$29.99 ,$26.99 ,2018,Ages_1½-3,9,NA,Plastic box,NA,29,NA,Large
10921,Super Heroes Lab,DUPLO®,30,$29.99 ,$26.99 ,2020,Ages_2+,16,3,Box,NA,23,Retail,Large
71708,Gamer's Market,NINJAGO®,218,$29.99 ,$26.99 ,2020,Ages_7+,64,9,Box,NA,133,Retail,Small
41392,Nature Glamping,Friends,241,$29.99 ,$26.99 ,2020,Ages_6+,72,2,Box,NA,110,Retail,Small
71713,Empire Dragon,NINJAGO®,286,$29.99 ,$26.99 ,2020,Ages_8+,80,3,Box,NA,118,Retail,Small
41366,Olivia's Cupcake Cafe,Friends,335,$29.99 ,$26.99 ,2019,Ages_6+,100,2,NA,0.56Kg (1.23 lb),185,NA,Small
60254,Race Boat Transporter,City,238,$29.99 ,$26.99 ,2020,Ages_5+,124,2,Box,0.56Kg (1.24 lb),123,Retail,Small
60176,Wild River Escape,City,126,$19.99 ,$27.00 ,2018,Ages_5-12,56,2,Box,0.23Kg (0.51 lb),71,Retail,Small
41348,Service & Care Truck,Friends,247,$19.99 ,$27.07 ,2018,Ages_6-12,84,1,Box,0.35Kg (0.77 lb),123,Retail,Small
76124,War Machine Buster,Marvel,362,$34.99 ,$27.79 ,2019,Ages_7+,64,4,Box,NA,122,Retail,Small
70421,El Fuego's Stunt Truck,Hidden Side,428,$39.99 ,$27.85 ,2019,Ages_8+,156,4,Box,NA,198,Retail,Small
75214,Anakin's Jedi Starfighter,Star Wars™,247,$19.99 ,$27.95 ,2018,Ages_7-12,84,2,Box,0.42Kg (0.93 lb),111,Retail,Small
70666,The Golden Dragon,NINJAGO®,171,$19.99 ,$27.98 ,2019,Ages_7+,60,3,Box,0.24Kg (0.53 lb),74,Retail,Small
75198,Tatooine Battle Pack,Star Wars™,97,$14.99 ,$27.99 ,2018,Ages_6-12,36,4,Box,NA,53,Retail,Small
75270,Obi-Wan's Hut,Star Wars™,200,$29.99 ,$27.99 ,2020,Ages_7+,68,4,Box,NA,118,Retail,Small
31073,Mythical Creatures,Creator 3-in-1,223,$14.99 ,$28.40 ,2018,Ages_7-12,189,NA,Box,0.3Kg (0.66 lb),66,Retail,Small
41359,Heart Box Friendship Pack,Friends,199,$19.99 ,$28.45 ,2019,Ages_6+,60,2,NA,0.31Kg (0.68 lb),90,NA,Small
10769,RV Vacation,Disney™,178,$34.99 ,$28.46 ,2019,Ages_4+,72,3,Box,NA,106,Retail,Small
76091,Mighty Micros: Thor vs. Loki,Marvel,79,$9.99 ,$28.49 ,2018,Ages_5-12,7,2,Box,NA,47,Retail,Small
75236,Duel on Starkiller Base,Star Wars™,191,$19.99 ,$28.75 ,2019,Ages_6+,68,2,Box,NA,83,Retail,Small
41328,Stephanie's Bedroom,Friends,95,$9.99 ,$28.87 ,2018,Ages_6-12,44,1,Box,NA,72,Retail,Small
31094,Race Plane,Creator 3-in-1,333,$29.99 ,$28.99 ,2019,Ages_7+,200,1,Box,0.64Kg (1.41 lb),134,Retail,Small
75238,Action Battle Endor Assault,Star Wars™,193,$29.99 ,$29.00 ,2019,Ages_7+,64,2,Box,NA,108,Retail,Small
75195,Ski Speeder vs. First Order Walker Microfighters,Star Wars™,216,$19.99 ,$29.20 ,2018,Ages_6-12,92,2,Box,NA,94,Retail,Small
75258,Anakin's Podracer – 20th Anniversary Edition,Star Wars™,279,$29.99 ,$29.32 ,2019,Ages_7+,84,3,Box,NA,110,Retail,Small
70660,Spinjitzu Jay,NINJAGO®,97,$9.99 ,$29.44 ,2019,Ages_7+,32,1,Box,0.13Kg (0.29 lb),23,Retail,Small
70662,Spinjitzu Cole,NINJAGO®,117,$9.99 ,$29.50 ,2019,Ages_7+,32,1,Box,0.14Kg (0.31 lb),26,Retail,Small
75934,Dilophosaurus on the Loose,Jurassic World™,168,$19.99 ,$29.69 ,2019,Ages_6+,60,3,Box,NA,88,Retail,Small
21148,Minecraft Steve BigFig with Parrot,Minecraft™,159,$14.99 ,$29.90 ,2019,Ages_7+,40,NA,Box,0.17Kg (0.37 lb),74,Retail,Small
75271,Luke Skywalker's Landspeeder,Star Wars™,236,$29.99 ,$29.93 ,2020,Ages_7+,72,3,Box,NA,104,NA,Small
70635,Jay - Spinjitzu Master,NINJAGO®,68,$9.99 ,$29.95 ,2018,Ages_6-14,32,1,Box,NA,39,Retail,Small
70663,Spinjitzu Nya & Wu,NINJAGO®,227,$19.99 ,$29.95 ,2019,Ages_7+,56,2,Box,0.23Kg (0.51 lb),49,Retail,Small
75950,Aragog's Lair,Harry Potter™,157,$14.99 ,$29.95 ,2018,Ages_7-14,56,2,Box,0.16Kg (0.35 lb),82,Retail,Small
75281,Anakin's Jedi Interceptor,Star Wars™,248,$29.99 ,$29.95 ,2020,Ages_7+,68,2,Box,NA,100,Retail,Small
75196,A-Wing vs. TIE Silencer Microfighters,Star Wars™,188,$19.99 ,$29.95 ,2018,Ages_6-12,72,2,Box,0.22Kg (0.48 lb),88,Retail,Small
75942,Velociraptor: Biplane Rescue Mission,Jurassic World™,101,$29.99 ,$29.95 ,2020,Ages_4+,76,2,Box,NA,72,Retail,Small
75967,Forbidden Forest: Umbridge's Encounter,Harry Potter™,253,$29.99 ,$29.95 ,2020,Ages_8+,84,4,Box,NA,121,Retail,Small
76150,Spiderjet vs. Venom Mech,Marvel,371,$29.99 ,$29.95 ,2020,Ages_7+,84,3,Box,NA,136,Retail,Small
70429,El Fuego's Stunt Plane,Hidden Side,295,$29.99 ,$29.95 ,2020,Ages_7+,92,3,Box,NA,149,Retail,Small
70430,Newbury Subway,Hidden Side,348,$29.99 ,$29.95 ,2020,Ages_8+,108,3,Box,NA,146,Retail,Small
41427,Emma's Fashion Shop,Friends,343,$29.99 ,$29.95 ,2020,Ages_6+,112,2,Box,NA,152,Retail,Small
41422,Panda Jungle Tree House,Friends,265,$29.99 ,$29.95 ,2020,Ages_7+,120,2,Box,NA,149,Retail,Small
76898,Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY,Speed Champions,565,$29.99 ,$29.95 ,2020,Ages_8+,128,2,Box,0.73Kg (1.61 lb),186,Retail,Small
71365,Piranha Plant Power Slide,LEGO® Super Mario™,217,$29.99 ,$29.95 ,2020,Ages_7+,NA,3,Box,NA,78,Retail,Small
42073,BASH!,Technic™,139,$19.99 ,$29.98 ,2018,Ages_7-14,127,NA,Box,0.3Kg (0.66 lb),46,Retail,Small
10928,Bakery,DUPLO®,46,$34.99 ,$29.99 ,2020,Ages_2+,20,2,Box,NA,33,Retail,Large
10902,Police Station,DUPLO®,38,$29.99 ,$29.99 ,2019,Ages_2+,22,3,NA,0.71Kg (1.56 lb),25,NA,Large
70633,Kai - Spinjitzu Master,NINJAGO®,61,$9.99 ,$29.99 ,2018,Ages_6-14,32,1,Box,NA,33,Retail,Small
75197,First Order Specialists Battle Pack,Star Wars™,108,$14.99 ,$29.99 ,2018,Ages_6-12,36,3,Box,NA,48,Retail,Small
75235,X-wing Starfighter Trench Run,Star Wars™,132,$29.99 ,$29.99 ,2019,Ages_4+,64,3,Box,0.36Kg (0.79 lb),65,Retail,Small
70434,Supernatural Race Car,Hidden Side,244,$29.99 ,$29.99 ,2020,Ages_7+,80,3,Box,NA,115,Retail,Small
71366,Boomer Bill Barrage,LEGO® Super Mario™,132,$29.99 ,$29.99 ,2020,Ages_7+,NA,2,Box,NA,70,Retail,Small
70659,Spinjitzu Kai,NINJAGO®,97,$9.99 ,$30.00 ,2019,Ages_7+,32,1,Box,0.13Kg (0.29 lb),23,Retail,Small
10715,Bricks on a Roll,NA,442,,$30.34 ,2018,Ages_NA,99,NA,Box,NA,153,Retail,NA
10765,Ariel's Underwater Concert,Juniors,92,$14.99 ,$30.48 ,2018,Ages_4-7,40,1,Box,NA,55,NA,Small
10895,Emmet and Lucy's Visitors from the DUPLO Planet,THE LEGO® MOVIE 2™,53,$29.99 ,$30.72 ,2019,Ages_2+,25,2,Box,0.8Kg (1.76 lb),37,Retail,Small
75885,Ford Fiesta M-Sport WRC,Speed Champions,203,$14.99 ,$30.85 ,2018,Ages_7-14,60,1,Box,0.24Kg (0.54 lb),88,Retail,Small
60170,Off-Road Chase,City,37,$6.99 ,$30.89 ,2018,Ages_5-12,20,2,Box,NA,28,Retail,Small
70825,Queen Watevra's Build Whatever Box!,THE LEGO® MOVIE 2™,455,$39.99 ,$30.95 ,2019,Ages_6+,262,NA,Box,0.84Kg (1.85 lb),112,Retail,Small
41376,Turtles Rescue Mission,Friends,225,$19.99 ,$31.27 ,2019,Ages_6+,72,2,Box,NA,125,Retail,Small
60208,Parachute Arrest,City,218,$39.99 ,$31.46 ,2019,Ages_5+,120,4,Box,0.48Kg (1.05 lb),139,Retail,Small
60235,City Advent Calendar,City,234,$29.99 ,$31.49 ,2019,Ages_5+,3,8,Box,0.39Kg (0.85 lb),161,Retail,Small
75926,Pteranodon Chase,Jurassic World™,126,$19.99 ,$31.49 ,2018,Ages_6-12,44,2,Box,0.28Kg (0.62 lb),68,Retail,Small
41378,Dolphins Rescue Mission,Friends,363,$39.99 ,$31.67 ,2019,Ages_6+,116,2,Box,NA,192,Retail,Small
76113,Spider-Man Bike Rescue,Marvel,235,$19.99 ,$31.85 ,2019,Ages_6+,92,3,Box,0.34Kg (0.75 lb),98,Retail,Small
60234,People Pack - Fun Fair,City,183,$39.99 ,$31.99 ,2019,Ages_5+,64,14,Box,0.28Kg (0.61 lb),138,Retail,Small
41168,Elsa's Jewellery Box,LEGO® Frozen 2,300,$39.99 ,$31.99 ,2019,Ages_6+,96,1,Box,NA,89,Retail,Small
71710,Ninja Tuner Car,NINJAGO®,419,$39.99 ,$31.99 ,2020,Ages_8+,108,3,Box,NA,143,Retail,Small
60226,Mars Research Shuttle,City,273,$39.99 ,$31.99 ,2019,Ages_5+,160,2,Box,0.61Kg (1.34 lb),135,Retail,Small
75957,The Knight Bus,Harry Potter™,403,$39.99 ,$32.00 ,2019,Ages_8+,84,3,Box,NA,128,Retail,Small
70674,Fire Fang,NINJAGO®,463,$39.99 ,$32.00 ,2019,Ages_8+,88,4,Box,NA,175,Retail,Small
10861,My First Emotions,DUPLO®,28,$19.99 ,$32.07 ,2018,Ages_1½-3,9,NA,Box,NA,24,NA,Large
76110,Batman: The Attack of the Talons,Batman™,155,$19.99 ,$32.25 ,2018,Ages_7-12,60,3,Box,0.34Kg (0.75 lb),82,Retail,Small
10770,Buzz & Woody's Carnival Mania!,Disney™,230,$49.99 ,$32.80 ,2019,Ages_4+,52,5,Box,NA,106,Retail,Small
41254,Volcano Rock City Concert,Trolls World Tour,387,$39.99 ,$32.88 ,2020,Ages_6+,120,3,Box,NA,175,Retail,Small
41364,Stephanie's Buggy & Trailer ,Friends,166,$19.99 ,$32.90 ,2019,Ages_6+,48,1,NA,0.29Kg (0.64 lb),97,NA,Small
10750,Road Repair Truck,Juniors,73,$9.99 ,$32.92 ,2018,Ages_4-7,32,1,Box,0.15Kg (0.33 lb),50,Retail,Small
41362,Heartlake City Supermarket,Friends,140,$29.99 ,$32.97 ,2019,Ages_4+,68,2,Box,NA,90,Retail,Small
70638,Katana V11,NINJAGO®,257,$19.99 ,$32.98 ,2018,Ages_7-14,84,2,Box,0.32Kg (0.7 lb),111,Retail,Small
10759,Elastigirl's Rooftop Pursuit,Juniors,95,$19.99 ,$33.20 ,2018,Ages_4-7,64,2,Box,NA,77,Retail,Small
42092,Rescue Helicopter,Technic™,325,$39.99 ,$33.28 ,2019,Ages_8+,181,NA,Box,0.45Kg (0.99 lb),81,Retail,Small
10762,Belle's Story Time,Juniors,87,$14.99 ,$33.50 ,2018,Ages_4-7,44,2,Box,NA,66,Retail,Small
41605,Thanos,BrickHeadz,105,$9.99 ,$33.75 ,2018,Ages_10+,32,NA,Box,NA,37,Retail,Small
10754,Spider-Man vs. Scorpion Street Showdown,Marvel,125,$19.99 ,$33.80 ,2018,Ages_4-7,64,2,Box,0.34Kg (0.75 lb),82,Retail,Small
60201,City Advent Calendar,City,313,$29.99 ,$33.99 ,2018,Ages_5-12,4,6,Box,0.43Kg (0.94 lb),194,Retail,Small
41353,Friends Advent Calendar,Friends,500,$29.99 ,$34.00 ,2018,Ages_6-12,4,NA,Box,NA,202,Retail,Small
60192,Arctic Ice Crawler,City,200,$24.99 ,$34.25 ,2018,Ages_6-12,92,1,Box,0.34Kg (0.75 lb),80,Retail,Small
60214,Burger Bar Fire Rescue,City,327,$39.99 ,$34.43 ,2019,Ages_5+,164,3,Box,0.61Kg (1.34 lb),153,Retail,Small
10858,My First Puzzle Pets,DUPLO®,18,$9.99 ,$34.50 ,2018,Ages_1½-3,9,NA,Box,0.34Kg (0.75 lb),16,NA,Large
75884,1968 Ford Mustang Fastback,Speed Champions,183,$14.99 ,$34.69 ,2018,Ages_7-14,60,1,Box,0.22Kg (0.48 lb),74,Retail,Small
75225,Elite Praetorian Guard Battle Pack,Star Wars™,109,$14.99 ,$34.75 ,2019,Ages_6+,40,4,Box,0.12Kg (0.26 lb),52,Retail,Small
76157,Wonder Woman vs. Cheetah,DC,371,$39.99 ,$34.76 ,2020,Ages_8+,84,3,Box,NA,130,Retail,Small
70668,Jay's Storm Fighter,NINJAGO®,490,$39.99 ,$34.76 ,2019,Ages_9+,140,4,Box,0.7Kg (1.54 lb),195,Retail,Small
41190,Emily Jones & The Eagle Getaway,NA,149,$14.99 ,$34.92 ,2018,Ages_7-12,60,2,Box,NA,87,Retail,NA
60181,Forest Tractor,City,174,$19.99 ,$34.94 ,2018,Ages_5-12,64,1,Box,0.38Kg (0.84 lb),77,Retail,Small
41371,Mia's Horse Trailer,Friends,216,$29.99 ,$34.95 ,2019,Ages_6+,76,2,Box,NA,119,Retail,Small
41341,Andrea's Bedroom,Friends,85,$9.99 ,$34.99 ,2018,Ages_6-12,44,1,Box,NA,60,Retail,Small
